scheduling_algorithm,process_no,ni,batch_size,time_quantum,start_time,num_wait_iters,total_waiting_time,turn_around_time
fcfs,2,100000,100,2147483647,1636800690.523620592,1000,00.010421,00.018223
fcfs,0,25000,100,2147483647,1636800690.546409065,250,00.000007,00.000389
fcfs,1,50000,100,2147483647,1636800690.546431765,500,00.002062,00.009388
fcfs,2,250000,100,2147483647,1636800690.546457648,2500,00.010388,00.029950
fcfs,0,25000,100,2147483647,1636800690.582696277,250,00.000005,00.000385
fcfs,1,50000,100,2147483647,1636800690.582692171,500,00.002099,00.009585
fcfs,2,500000,100,2147483647,1636800690.582735709,5000,00.012389,00.051973
fcfs,0,25000,100,2147483647,1636800690.640689008,250,00.000005,00.000385
fcfs,1,50000,100,2147483647,1636800690.640679641,500,00.002068,00.009444
fcfs,2,750000,100,2147483647,1636800690.640732423,7500,00.010486,00.068937
fcfs,0,25000,100,2147483647,1636800690.715595450,250,00.000007,00.000390
fcfs,1,50000,100,2147483647,1636800690.715614246,500,00.002068,00.009464
fcfs,2,1000000,100,2147483647,1636800690.715641890,10000,00.010557,00.088559
fcfs,0,25000,100,2147483647,1636800690.809716361,250,00.000005,00.000386
fcfs,1,75000,100,2147483647,1636800690.809778845,750,00.002001,00.012984
fcfs,2,10000,100,2147483647,1636800690.809784678,100,00.016449,00.017233
fcfs,0,25000,100,2147483647,1636800690.832711483,250,00.000006,00.000386
fcfs,1,75000,100,2147483647,1636800690.832717919,750,00.002105,00.013231
fcfs,2,25000,100,2147483647,1636800690.832790133,250,00.016454,00.018419
fcfs,0,25000,100,2147483647,1636800690.855566176,250,00.000006,00.000387
fcfs,1,75000,100,2147483647,1636800690.855577162,750,00.002104,00.013165
fcfs,2,50000,100,2147483647,1636800690.855647685,500,00.014421,00.018274
fcfs,0,25000,100,2147483647,1636800690.878442191,250,00.000005,00.000417
fcfs,1,75000,100,2147483647,1636800690.878477733,750,00.002032,00.013080
fcfs,2,75000,100,2147483647,1636800690.878560666,750,00.014457,00.020287
fcfs,0,25000,100,2147483647,1636800690.903217435,250,00.000007,00.000421
fcfs,1,75000,100,2147483647,1636800690.903253706,750,00.002094,00.013125
fcfs,2,100000,100,2147483647,1636800690.903330196,1000,00.014550,00.022332
fcfs,0,25000,100,2147483647,1636800690.930629213,250,00.000012,00.000394
fcfs,1,75000,100,2147483647,1636800690.930653994,750,00.002068,00.013086
fcfs,2,250000,100,2147483647,1636800690.930678342,2500,00.014553,00.033976
fcfs,0,25000,100,2147483647,1636800690.971061415,250,00.000005,00.000391
fcfs,1,75000,100,2147483647,1636800690.971068593,750,00.002050,00.013207
fcfs,2,500000,100,2147483647,1636800690.971111535,5000,00.014478,00.053417
fcfs,0,25000,100,2147483647,1636800691.029362187,250,00.000010,00.000391
fcfs,1,75000,100,2147483647,1636800691.029386822,750,00.002058,00.013087
fcfs,2,750000,100,2147483647,1636800691.029416509,7500,00.014690,00.074391
fcfs,0,25000,100,2147483647,1636800691.108934801,250,00.000006,00.000390
fcfs,1,75000,100,2147483647,1636800691.108947414,750,00.002091,00.024839
fcfs,2,1000000,100,2147483647,1636800691.108989251,10000,00.027070,00.104844
fcfs,0,25000,100,2147483647,1636800691.219702033,250,00.000005,00.000385
fcfs,1,100000,100,2147483647,1636800691.219690857,1000,00.002105,00.016987
fcfs,2,10000,100,2147483647,1636800691.219778589,100,00.018494,00.019306
fcfs,0,25000,100,2147483647,1636800691.244842666,250,00.000006,00.000387
fcfs,1,100000,100,2147483647,1636800691.244866739,1000,00.002083,00.016806
fcfs,2,25000,100,2147483647,1636800691.244894351,250,00.018718,00.020727
